CSR1
----

-----------------------------------------
Data Format 1: Time-between-failures data
-----------------------------------------
Column1: Failure Number
Column2: Time-To-Failure
-----------------------------------------

1	524
2	291
3	303
4	606
5	1131
6	272
7	758
8	653
9	128
10	186
11	128
12	1394
13	513
14	1284
15	758
16	2088
17	148
18	303
19	652
20	828
21	478
22	2440
23	478
24	372
25	443
26	585
27	303
28	397
29	571
30	671
31	303
32	1422
33	898
34	233
35	1772
36	1752
37	326
38	956
39	676
40	2888
41	5
42	163
43	1131
44	2671
45	503
46	618
47	1224
48	478
49	1014
50	4882
51	781
52	198
53	1625
54	828
55	3451
56	2314
57	967
58	2229
59	1620
60	612
61	536
62	649
63	1935
64	93
65	3103



